iter	RMSE
0	108500.2494
1	102609.7208
2	97158.37186
3	92489.58578
4	88387.13077
5	84732.10369
6	81356.21393
7	78394.95843
8	76028.88649
9	73903.90811
10	72015.53906
11	70176.54115
12	68371.64495
13	67029.2889
14	65856.47814
15	64594.1036
16	63372.13122
17	62379.83771
18	61645.71185
19	60942.23349
20	60200.67754
21	59343.74031
22	58727.92141
23	58201.81544
24	57780.17857
25	57295.42294
26	56863.12328
27	56445.94265
28	56035.27408
29	55531.84472
30	55173.5414
31	54781.09804
32	54424.86141
33	54143.53268
34	53840.77017
35	53622.69549
36	53339.37965
37	53062.7282
38	52821.83029
39	52580.45816
40	52162.58064
41	51803.65564
42	51488.61189
43	51263.28542
44	51089.03242
45	50890.83954
46	50704.63181
47	50511.54186
48	50310.71972
49	50132.26024
50	49960.84357
51	49762.00665
52	49617.21575
53	49488.85665
54	49274.99206
55	49156.51694
56	49019.80883
57	48892.82518
58	48747.02988
59	48572.39404
60	48437.00644
61	48317.14471
62	48143.36244
63	48014.88529
64	47848.36396
65	47720.66566
66	47590.99601
67	47408.66114
68	47277.84932
69	47159.51571
70	47078.05247
71	46965.64274
72	46870.089
73	46812.8791
74	46724.71626
75	46625.59932
76	46524.12006
77	46415.00709
78	46324.70275
79	46219.93153
80	46094.82834
81	46021.17338
82	45930.32351
83	45799.17233
84	45693.73266
85	45603.65256
86	45502.37676
87	45389.68827
88	45269.40327
89	45213.91221
90	45097.02144
91	44930.98998
92	44845.59014
93	44770.32846
94	44687.89423
95	44602.73967
96	44556.41136
97	44462.50777
98	44378.5946
99	44276.59569
