iter	Passed	Remaining
0	29	2960
1	59	2904
2	88	2862
3	118	2835
4	147	2801
5	177	2773
6	207	2753
7	236	2724
8	265	2686
9	296	2664
10	325	2632
11	354	2600
12	387	2593
13	418	2571
14	448	2539
15	476	2502
16	505	2465
17	535	2437
18	565	2409
19	593	2375
20	622	2340
21	651	2309
22	678	2271
23	705	2234
24	734	2204
25	764	2174
26	792	2144
27	820	2109
28	851	2083
29	885	2067
30	916	2040
31	950	2020
32	987	2005
33	1023	1986
34	1059	1968
35	1092	1942
36	1121	1909
37	1150	1876
38	1178	1842
39	1207	1810
40	1236	1779
41	1265	1747
42	1294	1715
43	1322	1683
44	1350	1650
45	1383	1623
46	1414	1595
47	1446	1566
48	1478	1539
49	1511	1511
50	1542	1482
51	1573	1452
52	1604	1423
53	1634	1392
54	1663	1361
55	1693	1330
56	1721	1298
57	1748	1266
58	1775	1234
59	1802	1201
60	1831	1170
61	1859	1139
62	1886	1107
63	1913	1076
64	1939	1044
65	1967	1013
66	1995	982
67	2025	952
68	2061	926
69	2095	898
70	2131	870
71	2162	840
72	2200	814
73	2234	785
74	2265	755
75	2296	725
76	2326	694
77	2357	664
78	2389	635
79	2420	605
80	2451	575
81	2482	544
82	2512	514
83	2543	484
84	2573	454
85	2605	424
86	2635	393
87	2665	363
88	2696	333
89	2726	302
90	2757	272
91	2789	242
92	2819	212
93	2849	181
94	2880	151
95	2916	121
96	2948	91
97	2979	60
98	3011	30
99	3049	0
